size,num_layers,l_dim,epoch,batch,dropout,bn,dist,best_auc,best_ep,seed
32,3,1,500,8192,0,0,l2,0.91564,160,20
32,3,1,500,8192,0,0,cos,0.91520,143,20
64,3,2,500,8192,0,0,l2,0.89902,110,20
64,3,2,500,8192,0,0,cos,0.90308,51,20
32,3,2,500,8192,0,0,l2,0.90765,132,20
32,3,2,500,8192,0,0,cos,0.90587,143,20
64,3,5,500,8192,0,0,l2,0.91130,366,20
64,3,5,500,8192,0,0,cos,0.91115,366,20
32,3,5,500,8192,0,0,l2,0.91663,42,20
32,3,5,500,8192,0,0,cos,0.91290,42,20
32,3,8,500,8192,0,0,l2,0.91552,49,20
32,3,8,500,8192,0,0,cos,0.90967,53,20
64,3,8,500,8192,0,0,l2,0.91403,466,20
64,3,8,500,8192,0,0,cos,0.91473,466,20
32,3,10,500,8192,0,0,l2,0.90415,33,20
32,3,10,500,8192,0,0,cos,0.90799,31,20
64,3,10,500,8192,0,0,l2,0.90872,344,20
64,3,10,500,8192,0,0,cos,0.91029,344,20
32,3,27,500,8192,0,0,l2,0.91088,18,20
32,3,27,500,8192,0,0,cos,0.91376,21,20
64,3,27,500,8192,0,0,l2,0.90821,294,20
64,3,27,500,8192,0,0,cos,0.91059,495,20
32,3,32,500,8192,0,0,l2,0.91165,14,20
32,3,32,500,8192,0,0,cos,0.91803,16,20
64,3,32,500,8192,0,0,l2,0.91254,9,20
64,3,32,500,8192,0,0,cos,0.91669,9,20
32,3,1,500,8192,0,0,l2,0.90929,497,30
32,3,1,500,8192,0,0,cos,0.90802,497,30
64,3,1,500,8192,0,0,l2,0.91156,426,30
64,3,1,500,8192,0,0,cos,0.90721,284,30
64,3,2,500,8192,0,0,l2,0.90483,107,30
64,3,2,500,8192,0,0,cos,0.90600,107,30
32,3,2,500,8192,0,0,l2,0.90094,185,30
32,3,2,500,8192,0,0,cos,0.90747,173,30
32,3,5,500,8192,0,0,l2,0.90580,460,30
32,3,5,500,8192,0,0,cos,0.90778,460,30
64,3,5,500,8192,0,0,l2,0.91386,15,30
64,3,5,500,8192,0,0,cos,0.91836,15,30
